Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript
Random,Tile Skipper,Two,Normal,48,6548,24,7A 20D G 6B 3A G 14B 6C G 1A 2A G 20B 2B G 2C 20B G 17B 4B G 1B 1C G 8C 4C G 9A 2A G 18D 10A G 5D 13C G 12D 10B G 9C 10C G 19C 9B G 13B 9D G
Kitty Corner,Barricade,Two,Normal,63,6549,24,7A 7B G 7C 2A G 3A 2B G 2C 4A G 9A 2D G 3B 14A G 3D 8C G 3C 9D G 3D 4C G 12B 14D G 14D 9C G 14C 14B G 1A 1D G 11D 8D G 2A 6B G 15C 19C G 15A 3B G 15B 14B G 9B 1D G 17D 2A G 2A 18C G
Tile Skipper,Bee Line,One,Normal,45,6549,79,20D 5A G 16D 6B G 6C 11B G 17A 1A G 2B 17D G 4D 2C G 4B 15D G 14C 1B G 2A 19A G 19D 3D G 3C 10B G 19B 4C G 7A 10D G 10A 9A G 8B 7C G
Random,Kitty Corner,Two,Normal,42,8872,78,20C 20A G 15A 9C G 14C 10A G 5A 20B G 2A 4A G 3A 6A G 5C 5B G 20D 19D G 2D 4B G 20D 19C G 5C 20D G 4B 7B G 16A 20A G 14D 20B G
Kitty Corner,Monte Carlo Beeline 1,Two,Normal,39,8972,28,8A 13C G 15A 3A G 4A 14A G 18C 5A G 10A 15D G 6A 12A G 3C 6B G 20A 4B G 3D 16B G 16D 4B G 10C 12B G 12C 3C G 8C 12C G
Random,Bee Line,Two,Normal,39,100,7,2D 7A G 13D 15B G 13C 12D G 18A 3C G 9B 12A G 14A 15B G 8D 18D G 17D 2A G 9C 14D G 19C 16D G 4B 3B G 2B 14C G 3A 20B G
Monte Carlo Beeline 1,Tile Skipper,One,Normal,57,15521,24,7A 20D G 6B 12C G 1A 6C G 5C 5A G 16B 5B G 2B 19B G 17B 2C G 3B 20B G 3A 1B G 3C 13C G 9A 8A G 8C 4D G 19D 4C G 8D 15D G 10A 13A G 9B 10A G 15D 14A G 14B 14D G 10B 13B G
Tile Skipper,Deep Beeline,Two,Normal,45,11994,79,20D 13B G 17A 6B G 6C 7B G 11D 1A G 2B 7D G 13D 2C G 4B 19C G 20B 1B G 2A 3B G 19D 3D G 3C 20C G 8A 4A G 4C 3A G 10D 8C G 9D 15D G
Monte Carlo Beeline 2,Bee Line,One,Normal,42,29358,24,7A 7D G 12C 17A G 18A 9B G 8B 14C G 6D 8C G 13D 12A G 18D 9C G 14B 19D G 1A 8A G 13B 10B G 10D 3D G 15A 5C G 12D 8C G 9C 1B G
Tile Skipper,Barricade,Two,Normal,48,10897,79,20D 15B G 20A 6B G 6C 6A G 11D 1A G 2B 1B G 1C 2C G 4B 1D G 16A 4C G 7A 15D G 16B 8C G 7D 17B G 17A 3C G 7B 17D G 11C 5D G 8B 14B G 12C 9A G
Monte Carlo Beeline 1,Kitty Corner,One,Normal,39,13945,20,6A 10A G 5A 8B G 17C 1A G 2A 11A G 17D 7A G 12A 11C G 13D 10B G 5C 14C G 17B 1C G 5C 18D G 12B 10B G 2B 19D G 14A 7C G
Barricade,Random,One,Normal,51,101,17,5B 1C G 16C 1A G 6D 12A G 7A 2D G 7B 9A G 19C 7C G 7D 4C G 20C 4A G 4D 10D G 20A 17C G 9C 8B G 20B 13B G 19D 19C G 20D 19B G 13A 18D G 17A 17B G 10C 16C G
Barricade,Tile Skipper,One,Normal,57,104,63,16D 20D G 6B 6A G 11D 6C G 1A 1B G 1C 2B G 2C 1D G 2A 4B G 4C 20C G 20B 7A G 8C 15A G 11B 7D G 3D 16B G 17B 4A G 5D 18B G 18A 7C G 8B 18D G 14B 9B G 10B 19A G 10A 13D G
Random,Deep Beeline,Two,Normal,57,14234,40,11A 6A G 5A 13A G 18B 1A G 1B 1D G 2D 20B G 6C 8B G 5C 14C G 7C 19B G 16C 7B G 9B 7A G 8C 9C G 19C 18C G 3A 19A G 3C 18B G 15D 9D G 4A 10A G 3A 14B G 20C 10A G 8B 14B G
Random,Barricade,Two,Normal,54,33880,10,3C 17B G 3A 20A G 11A 8D G 4D 2A G 7D 2B G 2C 11C G 8C 2D G 7A 6C G 8C 11D G 6A 17C G 15B 12B G 16A 4C G 10C 13A G 13C 2A G 14D 18D G 1A 10B G 16C 14C G 8A 19C G
Barricade,Kitty Corner,One,Normal,69,34640,21,6B 11A G 6A 6C G 6D 1A G 5A 1B G 1C 4A G 9A 1D G 4B 4C G 4C 7B G 16D 5C G 5B 10D G 4D 11D G 11B 9B G 13B 6A G 8A 20A G 20B 18C G 3C 16B G 17B 18D G 14C 17A G 17D 19B G 2C 12C G 12A 6A G 6A 12B G 1A 6A G
Barricade,Bee Line,One,Normal,54,119,70,18C 10A G 10B 15D G 14C 5B G 2B 10C G 10D 18D G 18B 2A G 3B 18A G 20B 5A G 4B 20A G 19B 20D G 13C 7A G 7C 7B G 11B 11D G 16C 14D G 9B 16A G 6A 17C G 6C 6D G 6B 1C G
Monte Carlo Beeline 1,Bee Line,One,Normal,42,35447,52,14A 12B G 19B 17B G 18A 16B G 12D 17C G 11A 1C G 1A 13C G 19A 1D G 10A 18C G 2A 7A G 7C 2D G 5C 15A G 4D 2B G 15B 8D G 5D 4B G
Kitty Corner,Tile Skipper,Two,Normal,60,863,60,16A 20D G 6B 11A G 6A 6C G 1A 15A G 10A 2B G 2C 5A G 4A 4B G 1B 10B G 16C 1C G 3B 5B G 16D 3C G 4C 10B G 16D 7A G 8D 9A G 19D 8B G 12D 19A G 20B 12C G 13B 18B G 17A 13C G 14D 10C G
Tile Skipper,Monte Carlo Beeline 1,Two,Normal,60,36507,79,20D 3A G 12C 6B G 6C 4C G 1D 1A G 2B 2C G 5A 4B G 1B 6D G 13B 1C G 4D 19B G 13A 7C G 7B 13D G 16B 8D G 7A 17B G 19C 9A G 13C 14A G 19D 18A G 18D 14C G 17C 9B G 14D 10A G 19D 6D G
Kitty Corner,Bee Line,One,Normal,45,1449,4,2A 18B G 2B 3A G 4A 5A G 5D 9A G 14A 1D G 19D 19A G 4B 1B G 15B 3C G 14D 15D G 1A 4D G 2C 20C G 15A 3D G 7A 20B G 20A 13B G 3D 16B G
Kitty Corner,Monte Carlo Beeline 2,Two,Normal,51,51121,8,3A 6B G 20A 4A G 5A 14B G 10A 8A G 13A 9A G 6C 2A G 1A 12C G 18A 12A G 7A 16D G 17C 11A G 17A 13D G 6D 2D G 5D 19C G 18D 2D G 12B 11B G 12D 5B G 1B 18D G
Bee Line,Random,One,Normal,42,723,18,5C 6A G 20D 2B G 12B 16C G 8A 5A G 12C 11D G 11D 17D G 2C 20C G 5B 14A G 18D 8B G 15C 14B G 19C 4A G 14C 18A G 14D 12D G 16C 10C G
Bee Line,Tile Skipper,One,Normal,45,31278,74,19C 20D G 6B 19A G 16A 6C G 1A 19B G 20B 2B G 2C 16B G 2D 4B G 1B 11C G 11B 2A G 3D 7C G 11A 3C G 4C 14C G 9C 5D G 7A 7B G 8D 8B G
Bee Line,Kitty Corner,Two,Normal,39,31287,22,6C 9A G 4A 7B G 11C 5A G 1A 12A G 8B 6A G 11A 15A G 19B 5B G 11B 20A G 18A 6D G 1C 18C G 15C 1C G 4C 18B G 20D 11D G
Tile Skipper,Random,One,Normal,48,729,79,20D 16C G 12A 6B G 6C 16D G 1D 1A G 2B 19B G 8A 2C G 4B 4A G 19C 1B G 2A 9B G 8B 3D G 3C 18C G 4A 4C G 5D 13B G 7C 7B G 9A 17D G 16B 9C G
Barricade,Deep Beeline,Two,Normal,60,35584,6,2C 2D G 9D 2A G 7C 5B G 19C 1C G 5A 19B G 1D 1A G 6C 12C G 18A 7A G 11B 20D G 15A 4A G 9B 13A G 8C 14A G 13C 3C G 10B 10D G 14C 12D G 17C 13D G 4D 8D G 8A 14A G 1A 16D G 10A 2D G
Tile Skipper,Kitty Corner,One,Normal,48,1290,79,20D 7A G 2A 6B G 6C 3A G 4A 1A G 2B 9A G 14A 2C G 4B 7D G 14D 1B G 3B 3D G 4D 4C G 8C 9C G 3C 8B G 10A 14A G 13B 10C G 13A 17B G 8D 17C G
Bee Line,Monte Carlo Beeline 2,Two,Normal,57,99947,40,11A 7A G 6A 11B G 5D 1A G 3A 3B G 2D 19A G 2B 11C G 12A 8B G 18B 9A G 16D 13C G 18D 17C G 9C 17A G 20B 8C G 12D 12B G 10A 15D G 14A 14D G 20D 4D G 13B 10B G 18C 11B G 17D 20A G
Monte Carlo Beeline 1,Deep Beeline,One,Normal,54,74517,4,2A 1D G 19C 14A G 8D 14C G 1B 19A G 1A 18B G 17C 18A G 6A 12A G 13D 13A G 8B 20A G 8C 17A G 15D 6D G 15B 20B G 20D 6B G 11B 15A G 9A 4A G 6B 7A G 20D 15C G 16B 16C G
Kitty Corner,Deep Beeline,Two,Normal,51,82003,52,14A 15A G 3A 9A G 4A 4B G 19C 19A G 13A 9D G 1D 8A G 20A 16B G 20D 12A G 7A 7D G 16D 12D G 13B 10C G 12C 13B G 8B 11A G 7B 13B G 12B 10B G 5D 13A G 14B 20B G
