Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path
Deep Beeline,Barricade,One,Normal,89,18057,6,2C 2D G 2A 19D G 19B 7D G 3D 2B G 12C 2A G 3B 6A G 19C 1B G 10B 3A G 2A 7D G 3D 14C G 20C 3B G 1B 11A G 2D 7C G 1C 9A G 5B 1B G 7C 13A G 1A 1B G 7C 4A G 1D 1B G 1B 12D G 15A 1B G 1B 8B G 12B 8C G 8A 15D G 15B 11D G 3B 1B G 13B 6C G 9D 17B G 16D 20D G 6D 6C,2C 2A 2B 1B 1A 1D 6C 15B 15A 15D 20C 19D
Random,Deep Beeline,Two,Normal,152,21884,45,12B 2C G 13D 13B G 3C 3B G 12D 17A G 6D 2A G 20D 18B G 8B 13C G 7A 8A G 15B 20C G 9C 11D G 14B 4B G 5A 8D G 3A 17B G 20A 11A G 4D 12C G 5D 6B G 14B+ 10A G 15D 8C G 16D 14A G 19B 19A G 17C 1B G 14A 7B G 18A 1A G 16C 7C G 18D 16A G 16C 17A+ G 6D+ 16C G 7A 10C G 14D 16C G 13B 9A G 6A 13B G 17C 6A+ G 11C 12D G 10B 8C+ G 3D 16B G 17B 15B+ G 18A+ 18C G 18D 9C G 19C 17B G 17C 6A+ G 11B 5B G 18D 6D+ G 11C+ 9B G 9B 9C+ G 17A+ 19C G 9B 4D+ G 7B 14A G 9B 6B+ G 15A 9B G 10C 8A+ G 19A 20B,3B 4B 5B 5A 5D 10C 10A 10B 15D 20C 20A 20B
Random,Barricade,One,Normal,269,12160,38,10C 16C G 10A 4D G 15D 5D G 14B 6D G 16A 7B G 6A 17D G 18D 11B G 6A 10D G 13C 9C G 9C 18D+ G 14C 11B G 18A 7A G 8A 8B G 8D 10A G 18A 14B G 15B 16A G 9A 14B G 9B 10A+ G 8C 14B G 15B 5A G 9A+ 5D G 14B 12B G 9C 9B G 9B 12D G 16A+ 9D G 14B 10B G 10B+ 8A G 9D 16A+ G 11D 14A G 8A 1B G 16C 9B G 8A 7D G 10C+ 9B G 9D 15D+ G 5B 5C G 5C 7D+ G 13A 5C G 5D 17C G 20A 5C G 5D 1A G 12B+ 4B G 4B 10C+ G 12D 5D G 5D 13C+ G 12D 4B G 5D 5B+ G 2A 9D G 20C 8B G 7B 12A G 12C 11B G 17C+ 9D G 6A 5C G 19D 12C G 9D 15A G 2C 3D G 2D 9C+ G 16B 4A G 12C 4B G 11D+ 3A G 13B 7C G 8D 5D G 18C 3D G 20A+ 17B G 14A 12D+ G 3C 14B G 6C 7D+ G 17D+ 18B G 11C 13C+ G 5B+ 17A G 2B 11D+ G 3D 2D G 4A 12D+ G 11C 7A G 19C 8D+ G 14C+ 14A G 8A 19C G 20C 15B G 13D 17C+ G 1A+ 1D G 2B 12B+ G 9B 5D G 4B 2D G 10A+ 13B G 6A+ 20D G 4D 9D G 1C 12A G 9C+ 19B G 11A 16C+ G 13D 14A G 18C 16D,2C 7D 12B 12A 12D 17C 16D 16A 16C 20D 20A 20C 19D
Barricade,Random,Two,Normal,224,354,13,4B 18C G 17D 18A G 13D 16A G 15B 17A G 16B 9D G 13B 9A G 13A 9C G 17C 8D G 9A 19D G 7B 13A G 7A 2C G 8C 7D G 13A 10D G 16D 15A G 17A 2D G 7A 13A G 15A 10B G 1D 6C G 13A 7C G 9A 1A G 12D 20D G 3B 13A G 11C 8A G 12B 7D G 12D 18B G 9C+ 13A G 7D 9C+ G 9B 12D G 7D 18A G 11A 7D G 7D 18C+ G 20B 13D G 8B 19C G 20D+ 2B G 3C 20D+ G 16C 11C G 11D 19C+ G 1A 3C+ G 3B 18C+ G 10D+ 15D G 19B 16D+ G 2A 3C+ G 19A 13C G 5B 15A G 6A 2D+ G 4A 13D G 4C 7A+ G 1B 14C G 8D 20C G 15B+ 12A G 11C 11D G 8A+ 14C G 12D 11A+ G 5C 2A G 2A 18B+ G 1B 2A+ G 8D 5D G 1B 15A G 10C 20C+ G 10B+ 6C G 20A 3D G 7D 6A+ G 2B+ 11C G 12A 4B+ G 14C 18B+ G 3D+ 14D G 12D 7D+ G 15B+ 3C+ G 6D 4A G 8C+ 2C G 20A 12B+ G 12B+ 15A G 14C 8C+ G 8B 1C G 4D 20A,3D 8C 12B 7D 7A 7B 11C 11A 11D 16C 20D 20A 20C
Deep Beeline,Monte Carlo Beeline 3,Two,Normal,58,429036,51,13D 9A G 1D 15B G 14D 13C G 1B 15D G 16A 18C G 20D 6C G 15C 7C G 1C 11C G 18B 3C G 18D 13A G 6D 1A G 13A 3B G 13B 5B G 8C 7B G 9C 9B G 4C 9D G 7D 5D G 9D 3D G 5A 4A G 5A,1C 1A 1B 5B 5A 5D 4C 9D 9A 9B 13C 18D
Barricade,Deep Beeline,Two,Normal,104,204934,57,15B 15A G 8B 20D G 15C 17B G 12A 12B G 8A 3A G 4A 3B G 3C 5B G 7D 3D G 3B 2D G 15C 2A G 7C 14A G 14D 1C G 2A 13B G 1B 5A G 5A 16A G 1C 1A G 4B 1A G 18D 8D G 5A 17A G 15C 14C G 5D 11C G 5C 6D G 2D 19B G 19A 4B G 6D 9D G 7B 2D G 6D 9A G 18C 4B G 4B 11D G 10C 6B G 9B 11B G 6D 5A G 11A 4C G 4B 5D+ G 10A 11A,9A 9D 4C 4A 4B 5B 1B 1A 1C 6D 11B 11A
Barricade,Monte Carlo Beeline 3,Two,Normal,68,507065,6,2C 1B G 1A 2B G 5B 17B G 20B 1C G 2B 2A G 8D 5B G 1C 1D G 20D 6C G 5C 18C G 16C 10B G 6C 12C G 12B 2B G 7B 2B G 7D 2A G 3B 9C G 6A 2A G 3B 15C G 6C 6B G 15B 8B G 2C 7C G 11D 19B G 20A 3A G 9D 6B,2B 1B 1A 1D 6C 6A 6B 15C 20D 20A 20B 19B
Random,Monte Carlo Beeline 3,Two,Normal,74,548581,79,20D 19A G 17B 9C G 6C 13D G 17C 10D G 20C 12A G 2C 16B G 8C 14C G 4B 11D G 1B 4A G 18B 9A G 15C 14B G 3A 8B G 7D 14A G 12C 6D G 6C+ 12B G 3B 11C G 4C 5A G 19D 18A G 1B+ 10C G 17A 11A G 15C+ 3D G 4C 17D G 19B 17B G 20B 11C+ G 6C+ 9D,2C 3D 3A 3B 4B 4A 4C 9D 14B 14A 14C 19D
Monte Carlo Beeline 3,Monte Carlo Tree Search,One,Normal,55,646023,13,4B 13C G 1D 12B G 16B 15B G 14C 2A G 9B 12D G 7C 13D G 19C 6D G 4D 9A G 3A 8D G 15A 19A G 9B 17A G 16D 4A G 14D 11C G 5D 4C G 9D 5D+ G 13B 3B G 4C 11B G 7D 6A G 2B,2A 2B 3B 4B 4A 4C 9D 9A 9B 14D 19C 19A
Monte Carlo Beeline 3,Monte Carlo Beeline 4,One,Normal,61,689179,23,6D 18B G 8D 19C G 20B 15C G 9B 6C G 11C 7B G 7B+ 4B G 5D 10C G 19B 14C G 9D 13D G 3A 19D G 16B 2A G 2C 20B G 4C 17A G 12D 19A G 14B 10C G 5A 4A G 19B 1B G 18B+ 17B G 19B 2B G 7D 17B G 14A,4B 4A 4C 9D 14B 14A 14C 19D 19A 19B 20B 16B
