,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,,cs,ns,
,1. Monte Carlo Tree Search,,8,10,10,9,10,10,10,10,10,,87,3421,
,2. Monte Carlo Beeline 3,2,,10,10,10,10,10,10,10,10,,82,2984,
,3. Monte Carlo Beeline 2,0,0,,5,10,9,10,10,10,10,,64,1814,
,4. Monte Carlo Beeline 1,0,0,5,,8,10,10,10,10,10,,63,1770,
,5. Barricade,1,0,0,2,,4,8,10,10,10,,45,1005,
,6. Deep Beeline,0,0,1,0,6,,8,8,8,10,,41,884,
,7. Bee Line,0,0,0,0,2,2,,7,6,9,,26,455,
,8. Tile Skipper,0,0,0,0,0,2,3,,7,10,,22,309,
,9. Kitty Corner,0,0,0,0,0,2,4,3,,8,,17,276,
,10. Random,0,0,0,0,0,0,1,0,2,,,3,60,
,,,,,,,,,,,,,,,
