Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript
Random,Tile Skipper,Two,Normal,39,4331,67,17D 20D G 6B 2C G 11B 6C G 1A 16A G 11B 2B G 3A 18B G 6D 4D G 4C 10C G 12C 1C G 8C 20B G 11A 3B G 3C 10A G 18A 8A G
Bee Line,Kitty Corner,One,Normal,45,4432,15,4D 16A G 11A 15A G 5B 6A G 1A 15C G 16C 5A G 4A 14C G 9C 1C G 4C 9B G 9A 4C G 5C 20C G 20A 1D G 6D 14A G 14D 1D G 12A 13B G 13A 2A G
Tile Skipper,Barricade,Two,Normal,66,4432,79,20D 13A G 20A 6B G 6C 6A G 11D 1A G 2B 1B G 1C 2C G 4B 1D G 5B 4C G 7A 5D G 15A 8C G 7D 16A G 4A 3C G 7B 12D G 11C 9A G 10A 17D G 17C 10B G 11B 13A G 19B 14C G 19A 14D G 1C 17B G 14A 10C G 5A 19A G
Random,Monte Carlo Beeline,Two,Normal,57,4432,7,2D 13B G 14A 17D G 6B 3D G 3C 14B G 14D 19C G 12D 10C G 11A 15A G 18B 6B G 7D 1D G 13C 4A G 5D 18D G 11C 19D G 17D 16A G 19B 20C G 15C 18A G 5B 7C G 6A 20B G 16D 5D G 14D 16B G
Random,Kitty Corner,Two,Normal,45,100,11,3D 4A G 5A 12C G 4D 1A G 6A 2D G 4C 11A G 16A 10D G 12B 5D G 5B 18C G 17D 1C G 6D 3A G 8D 1B G 11C 18B G 15C 5C G 19B 18B G 3C 6B G
Barricade,Random,Two,Normal,75,4432,48,13A 16C G 15B 15A G 10D 6B G 8A 6A G 11D 19B G 2A 2B G 2C 13D G 20C 20A G 10B 1A G 15B 14C G 16B 6C G 9C 18A G 16D 5B G 17A 14A G 14D 18C G 3A 15A G 10B 11C G 12D 16D G 11D 3C G 7C 2B G 7B 8B G 5B 4B G 9A 19D G 7C 2B G 15D 8D G
Deep Beeline,Tile Skipper,One,Normal,42,4434,48,13A 20D G 6B 3D G 8D 6C G 1A 7D G 14D 2B G 2C 9D G 4A 4B G 1B 19B G 1D 2A G 4C 2D G 19D 9A G 10A 20B G 16B 7B G 10C 16D G
Kitty Corner,Deep Beeline,Two,Normal,45,4434,12,4A 13B G 16A 5A G 1A 12B G 3D 6A G 11A 3A G 14A 15A G 10A 18A G 19C 20A G 9A 13C G 6D 4C G 5D 18D G 9D 1B G 1C 7B G 20B 1D G 5D 9D G
Tile Skipper,Random,One,Normal,66,3029,79,20D 15A G 3B 6B G 6C 10A G 7D 1A G 2B 10A G 5A 2C G 4B 19A G 5B 1B G 2A 11B G 14C 3D G 3C 16D G 4A 4C G 8C 15A G 4A 7B G 8B 9D G 15D 9A G 9C 11B G 17C 9B G 12D 4D G 10A 13C G 18C 14A G 3A 18A G
Kitty Corner,Barricade,One,Normal,66,3028,16,5A 16C G 5B 1A G 2A 1B G 1C 7A G 12A 1D G 2B 17A G 17B 2C G 10D 12B G 7D 12C G 12D 17D G 7C 11C G 8C 12B G 18D 10C G 9D 1A G 4C 6C G 9B 7C G 17A 15A G 2B 19C G 17C 12D G 19A 2D G 5C 14D G 8D 1A G
Random,Bee Line,One,Normal,45,3058,8,3A 7B G 4C 13A G 19C 4A G 14B 1D G 1A 2B G 2D 18A G 6A 7A G 5D 6B G 14D 7C G 10C 20C G 2A 11A G 15A 14C G 1B 10D G 17C 19D G 16C 9A G
Barricade,Tile Skipper,One,Normal,54,3060,61,16B 20D G 6B 6A G 11D 6C G 1A 1B G 1C 2B G 2C 1D G 2A 4B G 4C 20C G 15A 7A G 8C 11B G 11C 7D G 3D 16D G 18B 4A G 5D 18A G 18D 7B G 8B 13C G 14B 9B G 10B 19C G
Tile Skipper,Bee Line,Two,Normal,33,100,79,20D 17C G 18B 6B G 6C 14B G 18D 1A G 2B 14D G 5D 2C G 4B 19C G 10C 1B G 2A 14A G 4D 3D G 3C 12C G
Kitty Corner,Tile Skipper,Two,Normal,69,100,60,16A 20D G 6B 11A G 6A 6C G 1A 17A G 12A 2B G 2C 7A G 2A 4B G 1B 15A G 10A 1C G 3B 6D G 11C 3C G 4C 12D G 10C 5D G 7D 11D G 12C 8D G 9A 11B G 12D 13A G 13C 13D G 7D 18D G 19C 7A G 12C 19A G 14D 11D G 14A 3A G
Bee Line,Random,Two,Normal,54,100,64,17A 9B G 2D 5D G 14D 19C G 13D 19B G 17B 8A G 9B 14C G 14B 1D G 20C 10C G 19D 13B G 3C 16B G 15C 2B G 1C 16A G 16C 13B G 6B 10D G 20D 1A G 15B 5A G 5C 1A G 6B 14C G
Barricade,Bee Line,Two,Normal,81,102,32,9A 10B G 1B 1A G 2B 3A G 5B 5A G 4B 4C G 5D 3C G 10C 7D G 12B 7A G 15A 20A G 16A 8C G 2C 20C G 20B 16B G 20D 18D G 19B 18B G 19A 10D G 16D 6A G 11A 17A G 12D 9B G 14D 14C G 18A 2B G 1A 5B G 17C 13A G 10C 19B G 4C 14D G 11B 15B G 16D 2A G 10C 16A G
Tile Skipper,Kitty Corner,One,Normal,45,107,79,20D 18A G 13A 6B G 6C 8A G 3A 1A G 2B 2A G 7A 2C G 4B 4A G 9A 1B G 3B 14A G 7D 3C G 4C 4D G 9B 7C G 5D 2D G 2D 9D G 17C 9C G
Barricade,Kitty Corner,One,Normal,51,103,77,20B 20A G 15A 15B G 15C 10A G 5A 5B G 5C 4A G 3A 3B G 3C 20D G 4D 4C G 10B 4D G 4D 16C G 14B 10C G 10C 13B G 19D 18A G 19C 1A G 11D 12A G 4D 17A G 17D 7A G
Bee Line,Tile Skipper,Two,Normal,45,5852,15,4D 20D G 6B 11B G 4B 6C G 1A 7C G 11D 2B G 2C 16A G 14D 7A G 6A 7B G 8D 1C G 2A 12D G 12B 3D G 8A 13D G 13A 10A G 12A 18A G 14B 8B G
Kitty Corner,Bee Line,Two,Normal,39,5886,48,13A 15C G 4D 8A G 3A 8D G 15B 2A G 1A 10D G 4C 6A G 6C 15A G 5D 1D G 6C 10A G 10C 13C G 6D 20A G 3C 18B G 16A 4B G
Random,Barricade,Two,Normal,60,5948,45,12B 20B G 12A 6A G 8D 6B G 6C 9C G 8B 6D G 8A 15B G 15C 13D G 3D 16D G 1D 7A G 9A 3B G 14A 4A G 17D 13C G 5A 7C G 7B 15A G 1D 18A G 18D 11C G 19C 5B G 1B 12B G 7D 2A G 1B 16D G
Barricade,Monte Carlo Beeline,Two,Normal,78,13528,48,13A 13B G 10C 10A G 5D 17C G 10B 15D G 14C 14D G 19B 14B G 8D 9C G 4A 4D G 8B 15B G 2D 7C G 19D 19A G 12B 20B G 17B 18D G 3D 15C G 6B 11C G 5B 3B G 1B 1A G 6D 15D G 9D 6A G 15B 18C G 12C 6A G 6A 1D G 8B 2C G 15B 4D G 8D 17B G 5B 1D G
